United States of America,,AAA,ALZ
Spain,,AMA,AOZ
Pakistan (Islamic Republic of),,APA,ASZ
India (Republic of),,ATA,AWZ
Australia,,AXA,AXZ
Argentine Republic,,AYA,AZZ
Botswana (Republic of),,A2A,A2Z
Tonga (Kingdom of),,A3A,A3Z
Oman (Sultanate of),,A4A,A4Z
Bhutan (Kingdom of),,A5A,A5Z
United Arab Emirates,,A6A,A6Z
Qatar (State of),,A7A,A7Z
Liberia (Republic of),,A8A,A8Z
Bahrain (State of),,A9A,A9Z
China (People's Republic of),,BAA,BZZ
Chile,,CAA,CEZ
Canada,,CFA,CKZ
Cuba,,CLA,CMZ
Morocco (Kingdom of),,CNA,CNZ
Cuba,,COA,COZ
Bolivia (Republic of),,CPA,CPZ
Portugal,,CQA,CUZ
Uruguay (Eastern Republic of),,CVA,CXZ
Canada,,CYA,CZZ
Nauru (Republic of),,C2A,C2Z
Andorra (Principality of),,C3A,C3Z
Cyprus (Republic of),,C4A,C4Z
Gambia (Republic of the),,C5A,C5Z
Bahamas (Commonwealth of the),,C6A,C6Z
World Meteorological Organization,,* C7A,C7Z
Mozambique (Republic of),,C8A,C9Z
Germany (Federal Republic of),,DAA,DRZ
Korea (Republic of),,DSA,DTZ
Philippines (Republic of the),,DUA,DZZ
Angola (Republic of),,D2A,D3Z
Cape Verde (Republic of),,D4A,D4Z
Liberia (Republic of),,D5A,D5Z
Comoros (Islamic Federal Republic of the),,D6A,D6Z
Korea (Republic of),,D7A,D9Z
Spain,,EAA,EHZ
Ireland,,EIA,EJZ
Armenia (Republic of),,EKA,EKZ
Liberia (Republic of),,ELA,ELZ
Ukraine,,EMA,EOZ
Iran (Islamic Republic of),,EPA,EQZ
Moldova (Republic of),,ERA,ERZ
Estonia (Republic of),,ESA,ESZ
Ethiopia (Federal Democratic Republic of),,ETA,ETZ
Belarus (Republic of),,EUA,EWZ
Kyrgyz Republic,,EXA,EXZ
Tajikistan (Republic of),,EYA,EYZ
Turkmenistan,,EZA,EZZ
Thailand,,E2A,E2Z
Eritrea,,E3A,E3Z
Palestinian Authority,,** E4A,E4Z
New Zealand - Cook Islands                     (WRC-07),,E5A,E5Z
New Zealand - Niue,,E6A,E6Z
Bosnia and Herzegovina (Republic of)        (WRC-07),,E7A,E7Z
France,,FAA,FZZ
United Kingdom of Great Britain and Northern Ireland,,GAA,GZZ
Hungary (Republic of),,HAA,HAZ
Switzerland (Confederation of),,HBA,HBZ
Ecuador,,HCA,HDZ
Switzerland (Confederation of),,HEA,HEZ
Poland (Republic of),,HFA,HFZ
Hungary (Republic of),,HGA,HGZ
Haiti (Republic of),,HHA,HHZ
Dominican Republic,,HIA,HIZ
Colombia (Republic of),,HJA,HKZ
Korea (Republic of),,HLA,HLZ
Democratic People's Republic of Korea,,HMA,HMZ
Iraq (Republic of),,HNA,HNZ
Panama (Republic of),,HOA,HPZ
Honduras (Republic of),,HQA,HRZ
Thailand,,HSA,HSZ
Nicaragua,,HTA,HTZ
El Salvador (Republic of),,HUA,HUZ
Vatican City State,,HVA,HVZ
France,,HWA,HYZ
Saudi Arabia (Kingdom of),,HZA,HZZ
Cyprus (Republic of),,H2A,H2Z
Panama (Republic of),,H3A,H3Z
Solomon Islands,,H4A,H4Z
Nicaragua,,H6A,H7Z
Panama (Republic of),,H8A,H9Z
Italy,,IAA,IZZ
Japan,,JAA,JSZ
Mongolia,,JTA,JVZ
Norway,,JWA,JXZ
Jordan (Hashemite Kingdom of),,JYA,JYZ
Indonesia (Republic of),,JZA,JZZ
Djibouti (Republic of),,J2A,J2Z
Grenada,,J3A,J3Z
Greece,,J4A,J4Z
Guinea-Bissau (Republic of),,J5A,J5Z
Saint Lucia,,J6A,J6Z
Dominica (Commonwealth of),,J7A,J7Z
Saint Vincent and the Grenadines,,J8A,J8Z
United States of America,,KAA,KZZ
Norway,,LAA,LNZ
Argentine Republic,,LOA,LWZ
Luxembourg,,LXA,LXZ
Lithuania (Republic of),,LYA,LYZ
Bulgaria (Republic of),,LZA,LZZ
Argentine Republic,,L2A,L9Z
United Kingdom of Great Britain and Northern Ireland,,MAA,MZZ
United States of America,,NAA,NZZ
Peru,,OAA,OCZ
Lebanon,,ODA,ODZ
Austria,,OEA,OEZ
Finland,,OFA,OJZ
Czech Republic,,OKA,OLZ
Slovak Republic,,OMA,OMZ
Belgium,,ONA,OTZ
Denmark,,OUA,OZZ
Netherlands (Kingdom of the),,PAA,PIZ
Netherlands (Kingdom of the) - Netherlands Caribbean,,PJA,PJZ
Indonesia (Republic of),,PKA,POZ
Brazil (Federative Republic of),,PPA,PYZ
Suriname (Republic of),,PZA,PZZ
Papua New Guinea,,P2A,P2Z
Cyprus (Republic of),,P3A,P3Z
Netherlands (Kingdom of the) - Aruba,,P4A,P4Z
Democratic People's Republic of Korea,,P5A,P9Z
Russian Federation,,RAA,RZZ
Sweden,,SAA,SMZ
Poland (Republic of),,SNA,SRZ
Egypt (Arab Republic of),,SSA,SSM
Sudan (Republic of the),,SSN,STZ
Egypt (Arab Republic of),,SUA,SUZ
Greece,,SVA,SZZ
Bangladesh (People's Republic of),,S2A,S3Z
Slovenia (Republic of),,S5A,S5Z
Singapore (Republic of),,S6A,S6Z
Seychelles (Republic of),,S7A,S7Z
South Africa (Republic of),,S8A,S8Z
Sao Tome and Principe (Democratic Republic of),,S9A,S9Z
Turkey,,TAA,TCZ
Guatemala (Republic of),,TDA,TDZ
Costa Rica,,TEA,TEZ
Iceland,,TFA,TFZ
Guatemala (Republic of),,TGA,TGZ
France,,THA,THZ
Costa Rica,,TIA,TIZ
Cameroon (Republic of),,TJA,TJZ
France,,TKA,TKZ
Central African Republic,,TLA,TLZ
France,,TMA,TMZ
Congo (Republic of the),,TNA,TNZ
France,,TOA,TQZ
Gabonese Republic,,TRA,TRZ
Tunisia,,TSA,TSZ
Chad (Republic of),,TTA,TTZ
Côte d'Ivoire (Republic of),,TUA,TUZ
France,,TVA,TXZ
Benin (Republic of),,TYA,TYZ
Mali (Republic of),,TZA,TZZ
Tuvalu,,T2A,T2Z
Kiribati (Republic of),,T3A,T3Z
Cuba,,T4A,T4Z
Somali Democratic Republic,,T5A,T5Z
Afghanistan (Islamic State of),,T6A,T6Z
San Marino (Republic of),,T7A,T7Z
Palau (Republic of),,T8A,T8Z
Russian Federation,,UAA,UIZ
Uzbekistan (Republic of),,UJA,UMZ
Kazakhstan (Republic of),,UNA,UQZ
Ukraine,,URA,UZZ
Canada,,VAA,VGZ
Australia,,VHA,VNZ
Canada,,VOA,VOZ
United Kingdom of Great Britain and Northern Ireland,,VPA,VQZ
China (People's Republic of) - Hong Kong,,VRA,VRZ
United Kingdom of Great Britain and Northern Ireland,,VSA,VSZ
India (Republic of),,VTA,VWZ
Canada,,VXA,VYZ
Australia,,VZA,VZZ
Antigua and Barbuda,,V2A,V2Z
Belize,,V3A,V3Z
Saint Kitts and Nevis,,V4A,V4Z
Namibia (Republic of),,V5A,V5Z
Micronesia (Federated States of),,V6A,V6Z
Marshall Islands (Republic of the),,V7A,V7Z
Brunei Darussalam,,V8A,V8Z
United States of America,,WAA,WZZ
Mexico,,XAA,XIZ
Canada,,XJA,XOZ
Denmark,,XPA,XPZ
Chile,,XQA,XRZ
China (People's Republic of),,XSA,XSZ
Burkina Faso,,XTA,XTZ
Cambodia (Kingdom of),,XUA,XUZ
Viet Nam (Socialist Republic of),,XVA,XVZ
Lao People's Democratic Republic,,XWA,XWZ
China (People's Republic of) - Macao        (WRC-07),,XXA,XXZ
Myanmar (Union of),,XYA,XZZ
Afghanistan (Islamic State of),,YAA,YAZ
Indonesia (Republic of),,YBA,YHZ
Iraq (Republic of),,YIA,YIZ
Vanuatu (Republic of),,YJA,YJZ
Syrian Arab Republic,,YKA,YKZ
Latvia (Republic of),,YLA,YLZ
Turkey,,YMA,YMZ
Nicaragua,,YNA,YNZ
Romania,,YOA,YRZ
El Salvador (Republic of),,YSA,YSZ
Serbia (Republic of)                                 (WRC-07),,YTA,YUZ
Venezuela (Republic of),,YVA,YYZ
Germany (Federal Republic of),,Y2A,Y9Z
Albania (Republic of),,ZAA,ZAZ
United Kingdom of Great Britain and Northern Ireland,,ZBA,ZJZ
New Zealand,,ZKA,ZMZ
United Kingdom of Great Britain and Northern Ireland,,ZNA,ZOZ
Paraguay (Republic of),,ZPA,ZPZ
United Kingdom of Great Britain and Northern Ireland,,ZQA,ZQZ
South Africa (Republic of),,ZRA,ZUZ
Brazil (Federative Republic of),,ZVA,ZZZ
Zimbabwe (Republic of),,Z2A,Z2Z
The Former Yugoslav Republic of Macedonia,,Z3A,Z3Z
South Sudan (Republic of),,Z8A,Z8Z
United Kingdom of Great Britain and Northern Ireland,,2AA,2ZZ
Monaco (Principality of),,3AA,3AZ
Mauritius (Republic of),,3BA,3BZ
Equatorial Guinea (Republic of),,3CA,3CZ
Swaziland (Kingdom of),,3DA,3DM
Fiji (Republic of),,3DN,3DZ
Panama (Republic of),,3EA,3FZ
Chile,,3GA,3GZ
China (People's Republic of),,3HA,3UZ
Tunisia,,3VA,3VZ
Viet Nam (Socialist Republic of),,3WA,3WZ
Guinea (Republic of),,3XA,3XZ
Norway,,3YA,3YZ
Poland (Republic of),,3ZA,3ZZ
Mexico,,4AA,4CZ
Philippines (Republic of the),,4DA,4IZ
Azerbaijani Republic,,4JA,4KZ
Georgia (Republic of),,4LA,4LZ
Venezuela (Republic of),,4MA,4MZ
Montenegro (Republic of)                   (WRC-07),,4OA,4OZ
Sri Lanka (Democratic Socialist Republic of),,4PA,4SZ
Peru,,4TA,4TZ
United Nations,,* 4UA,4UZ
Haiti (Republic of),,4VA,4VZ
Democratic Republic of Timor-Leste   (WRC-03),,4WA,4WZ
Israel (State of),,4XA,4XZ
International Civil Aviation Organization,,* 4YA,4YZ
Israel (State of),,4ZA,4ZZ
Libya (Socialist People's Libyan Arab Jamahiriya),,5AA,5AZ
Cyprus (Republic of),,5BA,5BZ
Morocco (Kingdom of),,5CA,5GZ
Tanzania (United Republic of),,5HA,5IZ
Colombia (Republic of),,5JA,5KZ
Liberia (Republic of),,5LA,5MZ
Nigeria (Federal Republic of),,5NA,5OZ
Denmark,,5PA,5QZ
Madagascar (Republic of),,5RA,5SZ
Mauritania (Islamic Republic of),,5TA,5TZ
Niger (Republic of the),,5UA,5UZ
Togolese Republic,,5VA,5VZ
Samoa (Independent State of),,5WA,5WZ
Uganda (Republic of),,5XA,5XZ
Kenya (Republic of),,5YA,5ZZ
Egypt (Arab Republic of),,6AA,6BZ
Syrian Arab Republic,,6CA,6CZ
Mexico,,6DA,6JZ
Korea (Republic of),,6KA,6NZ
Somali Democratic Republic,,6OA,6OZ
Pakistan (Islamic Republic of),,6PA,6SZ
Sudan (Republic of the),,6TA,6UZ
Senegal (Republic of),,6VA,6WZ
Madagascar (Republic of),,6XA,6XZ
Jamaica,,6YA,6YZ
Liberia (Republic of),,6ZA,6ZZ
Indonesia (Republic of),,7AA,7IZ
Japan,,7JA,7NZ
Yemen (Republic of),,7OA,7OZ
Lesotho (Kingdom of),,7PA,7PZ
Malawi,,7QA,7QZ
Algeria (People's Democratic Republic of),,7RA,7RZ
Sweden,,7SA,7SZ
Algeria (People's Democratic Republic of),,7TA,7YZ
Saudi Arabia (Kingdom of),,7ZA,7ZZ
Indonesia (Republic of),,8AA,8IZ
Japan,,8JA,8NZ
Botswana (Republic of),,8OA,8OZ
Barbados,,8PA,8PZ
Maldives (Republic of),,8QA,8QZ
Guyana,,8RA,8RZ
Sweden,,8SA,8SZ
India (Republic of),,8TA,8YZ
Saudi Arabia (Kingdom of),,8ZA,8ZZ
Croatia (Republic of),,9AA,9AZ
Iran (Islamic Republic of),,9BA,9DZ
Ethiopia (Federal Democratic Republic of),,9EA,9FZ
Ghana,,9GA,9GZ
Malta,,9HA,9HZ
Zambia (Republic of),,9IA,9JZ
Kuwait (State of),,9KA,9KZ
Sierra Leone,,9LA,9LZ
Malaysia,,9MA,9MZ
Nepal,,9NA,9NZ
Democratic Republic of the Congo,,9OA,9TZ
Burundi (Republic of),,9UA,9UZ
Singapore (Republic of),,9VA,9VZ
Malaysia,,9WA,9WZ
Rwandese Republic,,9XA,9XZ
Trinidad and Tobago,,9YA,9ZZ
Allocated to,,Call Sign Series,
